trade_id,instrument_type,counterparty,currency,notional,pv
EQ-OPT-000182,EquityOption,CP004,EUR,11871253.71,672827.18
EQ-OPT-000124,EquityOption,CP003,JPY,43398718.56,-8364495.58
EQ-OPT-000077,EquityOption,CP003,USD,4069461.09,169628.08
EQ-FWD-000123,EquityForward,CP002,EUR,14215848.90,806325.05
IRS-000134,IRS,CP001,USD,324578724.08,11646906.41
FX-OPT-000082,FxOption,CP004,EUR,9934934.51,475550.86
FX-OPT-000096,FxOption,CP001,USD,12521845.11,-16168746.61
EQ-OPT-000097,EquityOption,CP002,USD,10961215.57,420549.32
IRS-000026,IRS,CP005,USD,137258418.84,2450675.00
EQ-FWD-000005,EquityForward,CP002,USD,2091706.12,42120.90
IRS-000195,IRS,CP003,JPY,375452974.20,7054215.70
EQ-OPT-000043,EquityOption,CP004,USD,13502665.27,591878.55
IRS-000073,IRS,CP002,GBP,217536303.53,5922759.87
CDS-000046,CDS,CP002,USD,46271186.84,2226311.44
CDS-000049,CDS,CP001,USD,93002396.18,4522721.84
EQ-OPT-000132,EquityOption,CP003,USD,46362192.79,1932648.92
EQ-OPT-000143,EquityOption,CP002,EUR,19774990.82,1119918.71
EQ-OPT-000149,EquityOption,CP001,JPY,39339769.31,-8136030.24
CDS-000098,CDS,CP002,USD,81946574.14,3872338.83
FX-FWD-000074,FxForward,CP001,USD,69686363.20,3401068.78
EQ-OPT-000127,EquityOption,CP003,EUR,11180891.15,633105.38
EQ-OPT-000162,EquityOption,CP005,USD,32947419.01,1384994.84
IRS-000054,IRS,CP001,EUR,279191560.53,1896378.89
FX-OPT-000022,FxOption,CP002,GBP,43814525.12,2015936.23
EQ-OPT-000196,EquityOption,CP004,USD,26438546.10,1192594.54
FX-FWD-000075,FxForward,CP004,GBP,31346135.47,1431716.67
IRS-000090,IRS,CP005,USD,404391641.60,3567916.87
FX-FWD-000002,FxForward,CP003,EUR,26644320.46,1271867.99
EQ-OPT-000059,EquityOption,CP004,EUR,22887110.31,1302804.49
IRS-000143,IRS,CP002,GBP,261397867.57,129980.09
EQ-OPT-000038,EquityOption,CP003,USD,42652777.01,1840578.49
