trade_id,instrument_type,counterparty,currency,notional,pv
CDS-000002,CDS,CP004,USD,27239989.02,1296217.98
CDS-000001,CDS,CP003,USD,87637885.11,3980927.61
IRS-000003,IRS,CP004,EUR,459721952.14,14577050.70
EQ-FWD-000002,EquityForward,CP002,EUR,5064705.98,287174.17
FX-OPT-000002,FxOption,CP001,EUR,48185157.28,2326441.35
IRS-000002,IRS,CP001,GBP,136874569.32,3691482.24
EQ-OPT-000004,EquityOption,CP004,JPY,28398591.85,-5454020.35
EQ-FWD-000001,EquityForward,CP001,EUR,19831028.83,1124331.67
FX-FWD-000001,FxForward,CP005,EUR,38049426.06,1818962.96
EQ-OPT-000002,EquityOption,CP004,USD,1061743.20,20542.84
IRS-000001,IRS,CP005,GBP,225726773.50,2123110.08
FX-OPT-000003,FxOption,CP003,USD,28740257.49,-41011830.68
EQ-FWD-000003,EquityForward,CP003,JPY,10678389.37,-2319934.38
FX-FWD-000003,FxForward,CP001,EUR,9593868.31,-14631367.58
FX-OPT-000001,FxOption,CP001,USD,9276872.73,449744.17
FX-FWD-000002,FxForward,CP005,USD,58262717.74,2839721.55
EQ-OPT-000001,EquityOption,CP005,USD,35912061.94,1632509.40
IRS-000004,IRS,CP002,JPY,199935066.88,377478.18
CDS-000003,CDS,CP001,USD,69170654.15,3406346.33
EQ-OPT-000003,EquityOption,CP003,USD,32996776.85,721667.36
