trade_id,instrument_type,counterparty,currency,notional,pv
EQ-OPT-000002,EquityOption,CP005,USD,48642100.17,2059160.11
FX-OPT-000003,FxOption,CP001,GBP,40558906.75,1823295.61
IRS-000004,IRS,CP003,USD,321528809.79,10445777.73
IRS-000006,IRS,CP002,EUR,495086388.09,16718616.66
FX-OPT-000004,FxOption,CP004,USD,38155469.70,1860736.23
IRS-000007,IRS,CP004,USD,262033409.02,6385211.30
EQ-OPT-000003,EquityOption,CP001,EUR,21332467.55,1212404.89
EQ-OPT-000006,EquityOption,CP003,USD,24346625.25,528285.13
EQ-OPT-000007,EquityOption,CP003,USD,6482219.06,258600.62
EQ-OPT-000009,EquityOption,CP003,USD,35006176.33,1393924.14
EQ-FWD-000001,EquityForward,CP003,USD,17821119.19,385730.59
IRS-000003,IRS,CP005,USD,490119503.90,4780058.69
EQ-OPT-000008,EquityOption,CP003,USD,12704728.45,558748.64
FX-OPT-000001,FxOption,CP005,GBP,24526759.11,1104488.44
EQ-OPT-000001,EquityOption,CP005,USD,39135437.80,1706613.19
IRS-000001,IRS,CP002,JPY,200188590.51,7217885.11
FX-FWD-000005,FxForward,CP005,USD,98813733.56,4809856.29
IRS-000009,IRS,CP001,EUR,34191790.02,268505.62
FX-OPT-000002,FxOption,CP002,EUR,12574112.72,-18453579.79
FX-FWD-000007,FxForward,CP005,EUR,46771624.21,-72419741.24
EQ-FWD-000006,EquityForward,CP004,USD,15154416.41,596764.41
EQ-FWD-000008,EquityForward,CP004,EUR,13929134.40,790503.21
EQ-FWD-000005,EquityForward,CP004,USD,2037703.58,88184.64
CDS-000001,CDS,CP005,USD,18576859.41,943523.46
EQ-OPT-000005,EquityOption,CP001,USD,30833993.42,591216.90
EQ-FWD-000004,EquityForward,CP004,USD,15807919.41,310726.06
FX-OPT-000005,FxOption,CP002,EUR,35273345.56,-59042445.36
CDS-000005,CDS,CP001,USD,96224703.41,4245843.40
IRS-000002,IRS,CP001,JPY,237722004.82,6562606.80
FX-FWD-000003,FxForward,CP001,EUR,24239896.98,-36602851.03
FX-OPT-000007,FxOption,CP005,USD,31291998.62,-43855686.33
FX-OPT-000006,FxOption,CP004,EUR,10561043.66,-16415020.72
EQ-FWD-000009,EquityForward,CP004,JPY,5094334.57,-1164897.58
IRS-000010,IRS,CP002,GBP,59028343.22,1266192.78
CDS-000003,CDS,CP001,USD,64989069.06,3262257.07
IRS-000005,IRS,CP002,EUR,272195310.04,6466484.84
EQ-FWD-000003,EquityForward,CP005,USD,16234209.46,645754.22
FX-FWD-000002,FxForward,CP003,EUR,61340345.72,-94057320.42
IRS-000008,IRS,CP001,JPY,233296482.19,3566645.69
CDS-000007,CDS,CP001,USD,36786786.92,1722397.83
EQ-FWD-000002,EquityForward,CP005,EUR,4558056.08,258674.91
CDS-000006,CDS,CP003,USD,39585341.91,1966293.11
CDS-000002,CDS,CP004,USD,80579262.80,3991036.13
EQ-OPT-000004,EquityOption,CP001,USD,10128518.93,434544.41
FX-FWD-000006,FxForward,CP001,GBP,50876150.31,2322654.71
EQ-OPT-000010,EquityOption,CP004,JPY,25781084.37,-5271230.27
CDS-000004,CDS,CP005,USD,98787985.56,4480749.91
FX-FWD-000004,FxForward,CP004,USD,89557242.72,-120950786.39
EQ-FWD-000007,EquityForward,CP001,USD,17010800.53,745344.77
FX-FWD-000001,FxForward,CP004,GBP,3773298.26,170763.15
