trade_id,instrument_type,counterparty,currency,notional,pv
EQ-FWD-000002,EquityForward,CP004,JPY,14052715.79,-3062261.59
IRS-000001,IRS,CP005,EUR,397927750.76,3726781.99
FX-OPT-000001,FxOption,CP004,USD,30493956.66,-45453054.74
EQ-FWD-000003,EquityForward,CP004,USD,15676615.58,681674.78
EQ-OPT-000002,EquityOption,CP002,USD,46274994.79,960786.49
CDS-000001,CDS,CP002,USD,98863549.91,4931670.38
EQ-OPT-000001,EquityOption,CP001,USD,27302879.18,447264.34
EQ-FWD-000001,EquityForward,CP003,USD,10432929.94,449836.26
FX-FWD-000001,FxForward,CP002,GBP,26787071.52,1217200.68
IRS-000002,IRS,CP003,JPY,491340348.50,2065103.59
